identifier,ام_دارم_خواهم_ندارم_شمع_آتش_عشق,حقیقت_عین_راز_یقین_جانان_اسرار_کل,غم_عشق_جهان_درد_یار_وصل_خاقانی,شاه_پیر_جهان_زانکه_حق_حال_شیخ,عقل_دین_مر_جهان_خرد_خلق_باش,دین_عالم_عقل_حق_نور_روح_علم,آدم_حق_راز_پرده_عشق_کل_نمود,عشق_جهان_ذره_عالم_عطار_گم_عقل,زلف_لب_آتش_رخ_خط_عشق_لعل,حق_دین_علم_اسرار_جهان_شوی_دان,اند_صبح_فلک_شاه_کعبه_خاقانی_آمده,شاه_داشت_افتاد_شه_جهان_بودی_بسی,بینی_عالم_چرا_باشی_بسی_زهی_جهان,ملک_جهان_فلک_عدل_دولت_آسمان_رای,عشق_گه_زن_جام_درد_مست_عاشق
urn:cts:perslit:sanaee.divans:ghgh.42,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.978947368421053,0.00150375939849624
urn:cts:perslit:sanaee.divans:ghgh.43,0.0184448462929476,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.325858951175407,0.000361663652802893,0.000361663652802893,0.235443037974684,0.41627486437613,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893,0.000361663652802893
urn:cts:perslit:sanaee.divans:ghgh.44,0.00109289617486339,0.00109289617486339,0.383606557377049,0.110382513661202,0.492896174863388,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339,0.00109289617486339
urn:cts:perslit:sanaee.divans:ghgh.45,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.393464052287582,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.00130718954248366,0.393464052287582,0.00130718954248366,0.197385620915033,0.00130718954248366,0.00130718954248366,0.00130718954248366
urn:cts:perslit:sanaee.divans:ghgh.46,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.955555555555555,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317,0.00317460317460317
urn:cts:perslit:sanaee.divans:ghgh.47,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.302255639097744,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.00150375939849624,0.302255639097744,0.00150375939849624,0.377443609022556,0.00150375939849624
urn:cts:perslit:sanaee.divans:ghgh.48,0.000600600600600601,0.000600600600600601,0.180780780780781,0.000600600600600601,0.000600600600600601,0.811411411411411,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601
urn:cts:perslit:sanaee.divans:ghgh.49,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.367032967032967,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.000732600732600733,0.147252747252747,0.476923076923077,0.000732600732600733
urn:cts:perslit:sanaee.divans:ghgh.4,0.129613733905579,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.215450643776824,0.000858369098712446,0.000858369098712446,0.558798283261803,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.000858369098712446,0.0866952789699571,0.000858369098712446,0.000858369098712446
urn:cts:perslit:sanaee.divans:ghgh.50,0.444247787610619,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.00176991150442478,0.532743362831858
urn:cts:perslit:sanaee.divans:ghgh.51,0.0013986013986014,0.0013986013986014,0.630769230769231,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.0013986013986014,0.351048951048951,0.0013986013986014
urn:cts:perslit:sanaee.divans:ghgh.52,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.00115606936416185,0.694797687861272,0.290173410404624,0.00115606936416185
urn:cts:perslit:sanaee.divans:ghgh.53,0.00240963855421687,0.00240963855421687,0.84578313253012,0.00240963855421687,0.12289156626506,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687,0.00240963855421687
urn:cts:perslit:sanaee.divans:ghgh.54,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.517370892018779,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.000938967136150235,0.470422535211268,0.000938967136150235
